fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
6.4,0.12,0.3,1.1,0.031,37,94,0.98986,3.01,0.56,11.7,6
7.4,0.31,0.74,10.7,0.039,51,147,0.9977,3.02,0.43,8.7,5
5.7,0.27,0.16,9,0.053,32,111,0.99474,3.36,0.37,10.4,6
5.4,0.46,0.15,2.1,0.026,29,130,0.98953,3.39,0.77,13.4,8
5.9,0.23,0.24,1.6,0.037,32,115,0.99076,3.21,0.51,11.4,6
7.4,0.16,0.49,1.2,0.055,18,150,0.9917,3.23,0.47,11.2,6
6.6,0.3,0.24,1.2,0.034,17,121,0.9933,3.13,0.36,9.2,5
6.9,0.2,0.28,1.2,0.048,36,159,0.9936,3.19,0.43,9.1,6
6.1,0.36,0.16,6.4,0.037,36,198,0.9944,3.17,0.62,9.9,6
6.2,0.28,0.33,1.7,0.029,24,111,0.99,3.24,0.5,12.1,6
6.5,0.29,0.31,1.7,0.035,24,79,0.99053,3.27,0.69,11.4,7
6.7,0.24,0.37,11.3,0.043,64,173,0.99632,3.08,0.53,9.9,6
6.5,0.3,0.32,2,0.044,34,90,0.99185,3.37,0.68,11,7
7.2,0.47,0.16,5.9,0.048,14,125,0.99428,3.09,0.49,9.8,5
6,0.17,0.36,1.7,0.042,14,61,0.99144,3.22,0.54,10.8,6
6.3,0.4,0.24,5.1,0.036,43,131,0.99186,3.24,0.44,11.3,6
7.6,0.3,0.37,1.6,0.087,27,177,0.99438,3.09,0.5,9.8,5
7.2,0.24,0.3,1.6,0.048,27,131,0.9933,3.25,0.45,10.5,5
6.6,0.54,0.21,16.3,0.055,41,182,0.9986,3.35,0.54,10.4,6
6.2,0.2,0.26,1.1,0.047,42,119,0.99158,3.48,0.6,11,7
6.6,0.2,0.14,4.4,0.184,35,168,0.99396,2.93,0.45,9.4,6
7,0.2,0.49,5.9,0.038,39,128,0.9938,3.21,0.48,10.8,6
5.9,0.13,0.28,1.9,0.05,20,78,0.9918,3.43,0.64,10.8,6
6.3,0.23,0.5,10.4,0.043,61,132,0.99542,2.86,0.46,9.1,6
7.5,0.15,0.38,1.8,0.054,19,101,0.9946,3.24,0.44,10,5
7.5,0.24,0.31,13.1,0.05,26,180,0.99884,3.05,0.53,9.1,6
7.9,0.3,0.27,8.5,0.036,20,112,0.9939,2.96,0.46,11.7,6
7,0.21,0.28,8.6,0.045,37,221,0.9954,3.25,0.54,10.4,6
7.9,0.26,0.33,10.3,0.039,73,212,0.9969,2.93,0.49,9.5,6
6.3,0.28,0.29,6.8,0.051,40,143,0.99374,3.43,0.59,11,6
8.1,0.28,0.39,1.9,0.029,18,79,0.9923,3.23,0.52,11.8,6
6.4,0.28,0.27,11,0.042,45,148,0.99786,3.14,0.46,8.7,5
7.3,0.4,0.28,6.5,0.037,26,97,0.99148,3.16,0.58,12.6,7
5.8,0.32,0.38,4.75,0.033,23,94,0.991,3.42,0.42,11.8,7
6.7,0.46,0.18,2.4,0.034,25,98,0.9896,3.08,0.44,12.6,7
7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,7
6.5,0.33,0.3,3.8,0.036,34,88,0.99028,3.25,0.63,12.5,7
7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,6
6.4,0.34,0.1,1.1,0.048,19,84,0.9927,3.21,0.38,9.8,5
6.5,0.51,0.25,1.7,0.048,39,177,0.99212,3.28,0.57,10.6,5
8.3,0.14,0.36,8.8,0.026,13,60,0.9956,3.13,0.35,11.05,5
7.7,0.28,0.33,6.7,0.037,32,155,0.9951,3.39,0.62,10.7,7
8,0.25,0.13,17.2,0.036,49,219,0.9996,2.96,0.46,9.7,5
6.1,0.28,0.16,1.3,0.06,36,126,0.99353,3.13,0.46,8.7,6
6.7,0.24,0.3,10.2,0.07,44,179,0.99666,2.86,0.46,8.9,6
6.1,0.23,0.45,10.6,0.094,49,169,0.99699,3.05,0.54,8.8,5
7.1,0.2,0.41,2.1,0.054,24,166,0.9948,3.48,0.62,10.5,6
6.8,0.21,0.42,1.2,0.045,24,126,0.99234,3.09,0.87,10.9,6
6.5,0.26,0.39,1.4,0.02,12,66,0.99089,3.25,0.75,11.3,7
5.8,0.19,0.24,1.3,0.044,38,128,0.99362,3.77,0.6,10.6,5
9.6,0.29,0.46,1.45,0.039,77.5,223,0.9944,2.92,0.46,9.5,6
8.2,0.18,0.49,1.1,0.033,28,81,0.9923,3,0.68,10.4,7
5.9,0.27,0.27,9,0.051,43,136,0.9941,3.25,0.53,10.7,6
6.6,0.36,0.28,6.1,0.029,12,93,0.99054,3.19,0.27,12.8,7
7.2,0.25,0.39,18.95,0.038,42,155,0.9999,2.97,0.47,9,6
6.6,0.26,0.25,11.6,0.045,45,178,0.99691,3.33,0.43,9.8,6
8.3,0.18,0.3,1.1,0.033,20,57,0.99109,3.02,0.51,11,6
6,0.2,0.26,6.8,0.049,22,93,0.9928,3.15,0.42,11,6
7.9,0.34,0.44,6.5,0.027,47,126,0.99124,2.96,0.37,12.5,6
6.8,0.27,0.22,8.1,0.034,55,203,0.9961,3.19,0.52,8.9,5
6.4,0.26,0.21,8.2,0.05,51,182,0.99542,3.23,0.48,9.5,5
6.4,0.21,0.28,5.9,0.047,29,101,0.99278,3.15,0.4,11,6
5.5,0.24,0.45,1.7,0.046,22,113,0.99224,3.22,0.48,10,5
7.8,0.27,0.34,1.6,0.046,27,154,0.9927,3.05,0.45,10.5,6
8.3,0.23,0.3,2.1,0.049,21,153,0.9953,3.09,0.5,9.6,6
7,0.19,0.23,5.7,0.123,27,104,0.9954,3.04,0.54,9.4,6
5.9,0.2,0.23,1.5,0.037,38,93,0.99021,3.36,0.49,12,6
6.6,0.35,0.26,2.7,0.045,19,129,0.98952,3.24,0.48,13,7
6.6,0.22,0.3,14.7,0.045,50,136,0.99704,3.14,0.37,10.6,6
10.7,0.22,0.56,8.2,0.044,37,181,0.998,2.87,0.68,9.5,6
6.8,0.18,0.28,9.8,0.039,29,113,0.99406,3.11,0.45,10.9,7
6.4,0.595,0.14,5.2,0.058,15,97,0.9951,3.38,0.36,9,4
7,0.15,0.3,13.3,0.049,46,120,0.99704,3.2,0.36,9.5,7
9.2,0.23,0.3,1.1,0.031,40,99,0.9929,2.94,0.3,10.4,6
7.3,0.23,0.34,9.3,0.052,19,86,0.99574,3.04,0.56,10,5
6.3,0.33,0.42,17.2,0.037,57,170,0.99884,3.26,0.57,9.4,6
6.9,0.25,0.27,9.05,0.039,37,128,0.9936,3.27,0.34,11.3,8
8.3,0.33,0.43,9.2,0.046,22,126,0.9982,3.38,0.47,9.3,5
6.8,0.21,0.55,14.6,0.053,34,159,0.99805,2.93,0.44,9.2,5
5.5,0.14,0.27,4.6,0.029,22,104,0.9949,3.34,0.44,9,5
6.6,0.37,0.47,6.5,0.061,23,150,0.9954,3.14,0.45,9.6,6
6.8,0.19,0.4,9.85,0.055,41,103,0.99532,2.98,0.56,10.5,6
7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7
6,0.28,0.29,19.3,0.051,36,174,0.99911,3.14,0.5,9,5
6.4,0.17,0.3,2.8,0.034,33,125,0.99152,3.03,0.49,10.4,6
6.8,0.34,0.36,8.9,0.029,44,128,0.99318,3.28,0.35,11.95,7
4.8,0.65,0.12,1.1,0.013,4,10,0.99246,3.32,0.36,13.5,4
6.3,0.22,0.27,4.5,0.036,81,157,0.9928,3.05,0.76,10.7,7
6.3,0.15,0.3,1.4,0.022,38,100,0.99099,3.42,0.57,11.4,7
6.4,0.32,0.25,5,0.055,28,138,0.99171,3.27,0.5,12.4,8
6.4,0.18,0.35,1,0.045,39,108,0.9911,3.31,0.35,10.9,6
6.9,0.75,0.13,6.3,0.036,19,50,0.99312,3.09,0.25,11.1,4
6.8,0.23,0.42,7.4,0.044,56,189,0.9958,3.22,0.48,9.3,6
7,0.24,0.35,1.5,0.052,51,128,0.9941,3.41,0.59,10.4,7
6.8,0.24,0.38,8.3,0.045,50,185,0.99578,3.15,0.5,9.5,6
5.1,0.52,0.06,2.7,0.052,30,79,0.9932,3.32,0.43,9.3,5
9,0.26,0.34,6.7,0.029,21,162,0.99497,3.08,0.5,10.6,6
7.3,0.2,0.37,1.2,0.037,48,119,0.992,3.32,0.49,10.9,6
7.5,0.27,0.31,5.8,0.057,131,313,0.9946,3.18,0.59,10.5,5
7,0.31,0.26,7.4,0.069,28,160,0.9954,3.13,0.46,9.8,6
6,0.28,0.34,1.6,0.119,33,104,0.9921,3.19,0.38,10.2,6
9,0.17,0.49,1,0.039,46,131,0.993,3.09,0.51,10.5,7
6.4,0.24,0.32,0.95,0.041,23,131,0.99033,3.25,0.35,11.8,5
6.5,0.32,0.48,8,0.026,18,88,0.99144,3.22,0.79,12.7,4
7.4,0.35,0.2,13.9,0.054,63,229,0.99888,3.11,0.5,8.9,6
7.2,0.08,0.49,1.3,0.05,18,148,0.9945,3.46,0.44,10.2,6
6.8,0.27,0.29,4.6,0.046,6,88,0.99458,3.34,0.48,10.6,4
6.5,0.43,0.31,3.6,0.046,19,143,0.99022,3.15,0.34,12,8
6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7
6.9,0.29,0.23,8.6,0.056,56,215,0.9967,3.17,0.44,8.8,5
6.1,0.38,0.42,5,0.016,31,113,0.99007,3.15,0.31,12.4,7
6.8,0.23,0.32,1.6,0.026,43,147,0.9904,3.29,0.54,12.5,6
6.9,0.33,0.21,1,0.053,39,148,0.9927,3.12,0.45,9.4,6
8.1,0.33,0.22,5.2,0.047,24,151,0.99527,3.22,0.47,10.3,5
8.1,0.28,0.46,15.4,0.059,32,177,1.0004,3.27,0.58,9,4
6.8,0.37,0.67,1.5,0.175,16,98,0.99244,3.06,0.56,10.3,6
5.7,0.21,0.25,1.1,0.035,26,81,0.9902,3.31,0.52,11.4,6
7.1,0.36,0.37,4.8,0.019,39,114,0.99036,3.08,0.49,12.7,7
9.1,0.28,0.49,2,0.059,10,112,0.9958,3.15,0.46,10.1,5
6,0.19,0.29,1.1,0.047,67,152,0.9916,3.54,0.59,11.1,7
6.6,0.38,0.15,4.6,0.044,25,78,0.9931,3.11,0.38,10.2,6
7.2,0.26,0.3,2.1,0.033,50,158,0.9909,3.33,0.43,12.1,7
6.6,0.24,0.27,15.8,0.035,46,188,0.9982,3.24,0.51,9.2,5
7.7,0.26,0.34,6.4,0.05,36,163,0.9937,3.19,0.7,11.5,6
8,0.24,0.3,17.45,0.056,43,184,0.9997,3.05,0.5,9.2,6
5.8,0.17,0.3,1.4,0.037,55,130,0.9909,3.29,0.38,11.3,6
7.8,0.18,0.31,12.2,0.053,46,140,0.998,3.06,0.53,8.9,6
6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7
5.8,0.13,0.26,5.1,0.039,19,103,0.99478,3.36,0.47,9.3,6
7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,6
6.6,0.4,0.32,1.7,0.035,39,84,0.99096,3.59,0.48,12.7,7
8,0.17,0.29,2.4,0.029,52,119,0.98944,3.03,0.33,12.9,6
5.3,0.31,0.38,10.5,0.031,53,140,0.99321,3.34,0.46,11.7,6
6.7,0.11,0.26,14.8,0.053,44,95,0.99676,3.2,0.35,9.8,6
6.7,0.3,0.5,12.1,0.045,38,127,0.9974,3.04,0.53,8.9,6
6.6,0.21,0.34,5.6,0.046,30,140,0.99299,3.22,0.38,11,5
7.5,0.32,0.24,4.6,0.053,8,134,0.9958,3.14,0.5,9.1,3
7.1,0.27,0.28,1.25,0.023,3,89,0.98993,2.95,0.3,11.4,4
8.4,0.2,0.27,6.3,0.048,30,143,0.9966,3.25,0.5,9.1,6
8,0.24,0.26,1.7,0.033,36,136,0.99316,3.44,0.51,10.4,7
6.8,0.23,0.48,1.5,0.036,35,165,0.99162,3.18,0.45,11.3,6
6.4,0.475,0.06,1,0.03,9,131,0.9904,2.97,0.29,10.8,5
6.2,0.33,0.14,4.8,0.052,27,128,0.99475,3.21,0.48,9.4,5
6.4,0.15,0.36,1.8,0.034,43,150,0.9922,3.42,0.69,11,8
6.4,0.25,0.74,7.8,0.045,52,209,0.9956,3.21,0.42,9.2,6
7.5,0.19,0.34,2.6,0.037,33,125,0.9923,3.1,0.49,11.1,7
7.3,0.32,0.34,6.6,0.032,24,112,0.99505,3.22,0.46,9.8,6
6.8,0.15,0.3,5.3,0.05,40,127,0.9942,3.4,0.39,9.7,6
6,0.17,0.29,5,0.028,25,108,0.99076,3.14,0.34,12.3,6
6.8,0.26,0.24,1.9,0.043,70,154,0.99273,3.18,0.52,10.5,5
5.9,0.12,0.28,1.4,0.037,36,83,0.99074,3.33,0.42,10.9,7
7.1,0.19,0.28,3.6,0.033,16,78,0.993,2.91,0.78,11.4,6
6.9,0.31,0.32,1.6,0.036,34,114,0.99068,3.19,0.45,11.4,7
6.7,0.41,0.27,2.6,0.033,25,85,0.99086,3.05,0.34,11.7,6
7,0.28,0.33,14.6,0.043,47,168,0.9994,3.34,0.67,8.8,6
7.5,0.18,0.45,4.6,0.041,67,158,0.9927,3.01,0.38,10.6,6
6.6,0.16,0.3,1.6,0.034,15,78,0.992,3.38,0.44,11.2,6
6.2,0.2,0.25,15,0.055,8,120,0.99767,3.19,0.53,9.6,6
7.2,0.15,0.39,1.8,0.043,21,159,0.9948,3.52,0.47,10,5
5.4,0.24,0.18,2.3,0.05,22,145,0.99207,3.24,0.46,10.3,5
6.8,0.22,0.3,13.6,0.055,50,180,0.9984,3.44,0.39,9.8,5
6.2,0.3,0.32,1.7,0.032,30,130,0.9911,3.28,0.41,11.2,7
5.7,0.29,0.16,7.9,0.044,48,197,0.99512,3.21,0.36,9.4,5
5.8,0.19,0.49,4.9,0.04,44,118,0.9935,3.34,0.38,9.5,7
7,0.12,0.19,4.9,0.055,27,127,0.9953,3.29,0.41,9.4,5
8,0.25,0.49,9,0.044,31,185,0.998,3.34,0.49,10,6
6.4,0.17,0.32,2.4,0.048,41,200,0.9938,3.5,0.5,9.7,6
6,0.28,0.24,17.8,0.047,42,111,0.99896,3.1,0.45,8.9,6
7.1,0.36,0.24,1.8,0.025,32,102,0.9903,3.34,0.59,12.8,6
7.1,0.37,0.3,6.2,0.04,49,139,0.99021,3.17,0.27,13.6,6
6.6,0.26,0.56,15.4,0.053,32,141,0.9981,3.11,0.49,9.3,5
7.7,0.28,0.35,15.3,0.056,31,117,0.9998,3.27,0.5,9.6,5
5.9,0.24,0.3,2,0.033,28,92,0.99225,3.39,0.69,10.9,7
8,0.55,0.17,8.2,0.04,13,60,0.9956,3.09,0.3,9.5,4
8.2,0.22,0.36,6.8,0.034,12,90,0.9944,3.01,0.38,10.5,8
6.9,0.3,0.21,15.7,0.056,49,159,0.99827,3.11,0.48,9,5
6.5,0.27,0.19,6.6,0.045,98,175,0.99364,3.16,0.34,10.1,6
7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,8
7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,7
7.7,0.32,0.62,10.6,0.036,56,153,0.9978,3.13,0.44,8.9,6
7.6,0.54,0.23,2,0.029,13,151,0.9931,3.04,0.33,10.4,5
6,0.28,0.29,19.3,0.051,36,174,0.99911,3.14,0.5,9,5
6.9,0.48,0.36,3.5,0.03,31,135,0.9904,3.14,0.38,12.2,7
7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6,5
6.8,0.21,0.26,11.7,0.038,61,152,0.99523,3.02,0.56,10.5,7
7,0.4,0.25,1.8,0.05,51,189,0.99174,3,0.55,11.4,6
6.6,0.3,0.3,4.8,0.17,60,166,0.9946,3.18,0.47,9.4,5
6.7,0.37,0.41,6.3,0.061,22,149,0.9953,3.16,0.47,9.6,6
5.4,0.33,0.31,4,0.03,27,108,0.99031,3.3,0.43,12.2,7
6.7,0.42,0.39,12.1,0.04,61,248,0.99794,3.31,0.58,9.7,5
6.2,0.43,0.49,6.4,0.045,12,115,0.9963,3.27,0.57,9,4
7,0.25,0.45,2.3,0.045,40,118,0.99064,3.16,0.48,11.9,7
7.1,0.23,0.35,16.5,0.04,60,171,0.999,3.16,0.59,9.1,6
7.7,0.3,0.42,14.3,0.045,45,213,0.9991,3.18,0.63,9.2,5
7.1,0.29,0.49,1.2,0.031,32,99,0.9893,3.07,0.33,12.2,6
6.1,0.37,0.2,7.6,0.031,49,170,0.99558,3.22,0.48,9.5,5
6.7,0.41,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1,5
7.9,0.16,0.3,7.4,0.05,58,152,0.99612,3.12,0.37,9.5,6
6.1,0.17,0.42,15.1,0.033,28,124,0.99684,2.87,0.47,9.5,5
6.3,0.35,0.26,17.6,0.061,59,198,0.99918,3.11,0.49,8.8,5
6.5,0.3,0.29,2.25,0.037,8,210,0.9937,3.19,0.62,9.9,5
6.3,0.27,0.18,7.7,0.048,45,186,0.9962,3.23,0.47,9,5
7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,7
7.2,0.19,0.27,11.2,0.061,46,149,0.99772,2.99,0.59,9.3,6
7.3,0.28,0.42,14.4,0.04,49,173,0.9994,3.28,0.82,9,7
6.1,0.4,0.18,9,0.051,28.5,259,0.9964,3.19,0.5,8.8,5
8.1,0.33,0.36,7.4,0.037,36,156,0.99592,3.19,0.54,10.6,6
6.6,0.26,0.36,1.2,0.035,43,126,0.99094,3.01,0.63,11.4,6
8.7,0.31,0.73,14.35,0.044,27,191,1.00013,2.96,0.88,8.7,5
6.2,0.29,0.23,12.4,0.048,33,201,0.99612,3.11,0.56,9.9,6
6.4,0.31,0.4,6.2,0.04,46,169,0.9953,3.15,0.46,9.3,6
6.7,0.54,0.27,7.1,0.049,8,178,0.99502,3.16,0.38,9.4,4
7.2,0.17,0.28,17.55,0.05,33,154,0.99971,2.94,0.43,9,7
6,0.25,0.4,5.7,0.052,56,152,0.99398,3.16,0.88,10.5,6
7.2,0.34,0.44,4.2,0.047,51,144,0.991,3.01,0.76,12.3,6
7.3,0.26,0.53,12.7,0.047,60.5,164.5,0.9984,3.06,0.45,9.1,6
6.8,0.36,0.32,1.6,0.039,10,124,0.9948,3.3,0.67,9.6,5
6.6,0.21,0.36,0.8,0.034,48,113,0.99165,3.24,0.68,10.5,6
6.3,0.24,0.29,13.7,0.035,53,134,0.99567,3.17,0.38,10.6,6
6.6,0.24,0.28,6.7,0.032,26,91,0.99172,3.13,0.32,12.3,6
7.3,0.22,0.37,14.3,0.063,48,191,0.9978,2.89,0.38,9,6
6.5,0.24,0.39,17.3,0.052,22,126,0.99888,3.11,0.47,9.2,6
5.9,0.3,0.47,7.85,0.03,19,133,0.9933,3.52,0.43,11.5,7
7,0.24,0.18,1.3,0.046,9,62,0.994,3.38,0.47,10.1,4
7.6,0.3,0.27,10.6,0.039,31,119,0.99815,3.27,0.3,9.3,6
6.9,0.32,0.26,2.3,0.03,11,103,0.99106,3.06,0.42,11.1,6
6,0.28,0.22,12.15,0.048,42,163,0.9957,3.2,0.46,10.1,5
7.3,0.26,0.36,5.2,0.04,31,141,0.9931,3.16,0.59,11,6
5.6,0.32,0.32,8.3,0.043,32,105,0.99266,3.24,0.47,11.2,6
6.8,0.28,0.29,11.9,0.052,51,149,0.99544,3.02,0.58,10.4,6
6.5,0.38,0.26,5.2,0.042,33,112,0.99067,3.06,0.5,12.3,7
7,0.15,0.29,16.4,0.058,45,110,0.9978,3.15,0.37,9.7,6
6.4,0.27,0.17,8.4,0.044,60,198,0.99578,3.21,0.47,9.4,5
6.6,0.18,0.28,1.7,0.041,53,161,0.99207,3.13,0.45,10.2,6
7.2,0.46,0.65,10.4,0.05,76,192,0.9976,3.16,0.42,8.7,5
6.6,0.32,0.26,4.6,0.031,26,120,0.99198,3.4,0.73,12.5,7
7.2,0.3,0.3,8.7,0.022,14,111,0.99576,3.11,0.61,10.6,5
7.3,0.23,0.41,14.6,0.048,73,223,0.99863,3.16,0.71,9.4,6
7,0.17,0.42,1,0.075,19,71,0.99103,3.32,0.62,11.4,6
5.8,0.36,0.32,1.7,0.033,22,96,0.9898,3.03,0.38,11.2,6
